id,"text","created_at","updated_at",weight
87,"ミスのない丁寧な業務処理を行い、仕事のできばえは正確・確実であったか","2018-03-07 14:34:00","2018-03-07 14:34:00",2
88,"業務の改善を常に心がけ、合理化に積極的に努力したか","2018-03-07 14:36:52","2018-03-07 14:36:52",2
89,"迅速に業務処理を行い、一定の時間内で与えられた仕事をこなしたか","2018-03-07 14:39:22","2018-03-07 14:39:22",3
91,"迅速に業務処理を行い、一定の時間内で与えられた仕事をこなしたか","2018-03-12 03:02:03","2018-03-12 03:02:03",2
92,"事務所・工場など会社施設の美化に努め、身の回りの整理・整頓を行ったか","2018-03-12 04:39:09","2018-03-12 04:39:09",2
93,"事務所・工場など会社施設の美化に努め、身の回りの整理・整頓を行ったか","2018-03-12 04:41:05","2018-03-12 04:41:05",1
94,"クレーム・トラブル発生の際、迅速かつ的確な対応ができたか","2018-03-12 04:46:42","2018-03-12 04:46:42",1
95,"常に自己の知識や技能を高める意思・態度を持ち、実践していたか","2018-03-12 04:50:58","2018-03-12 04:50:58",2
96,"常に自己の知識や技能を高める意思・態度を持ち、実践していたか","2018-03-12 04:52:45","2018-03-12 04:52:45",3
97,"後輩に対する熱心な指導ができたか","2018-03-12 04:57:18","2018-03-12 04:57:18",1
98,"顧客、取引先、社内情報など、業務上知り得た情報を適切に管理し、守秘義務を徹底したか","2018-03-12 05:00:33","2018-03-12 05:00:33",2
99,"顧客、取引先、社内情報など、業務上知り得た情報を適切に管理し、守秘義務を徹底したか","2018-03-12 05:02:47","2018-03-12 05:02:47",1
100,"法令順守の意識を強く持ち、徹底したか","2018-03-12 05:13:14","2018-03-12 05:13:14",1
101,"チームワークを大切にし、社内のコミュニケーションを深める努力をしたか","2018-03-12 05:31:20","2018-03-12 05:31:20",1
102,"チームワークを大切にし、社内のコミュニケーションを深める努力をしたか","2018-03-12 05:33:35","2018-03-12 05:33:35",2
103,"報告・連絡・相談を迅速、正確に行っていたか","2018-03-12 05:36:49","2018-03-12 05:36:49",2
104,"５Ｓ（整理・整頓・清掃・清潔・躾）に対して強い意識を持ち、実践に移したか","2018-03-12 05:39:44","2018-03-12 05:39:44",2
105,"５Ｓ（整理・整頓・清掃・清潔・躾）に対して強い意識を持ち、実践に移したか","2018-03-12 05:41:40","2018-03-12 05:41:40",3
106,"労働災害、災害、事故の発生予防に努め、職場の環境改善を行ったか","2018-03-12 05:45:08","2018-03-12 05:45:08",1
107,"会社の理念・方針を理解し、実行に移したか","2018-03-15 01:29:48","2018-03-15 01:29:48",3
108,"ミスのない丁寧な業務処理を行い、仕事のできばえは正確・確実であったか","2018-03-15 01:36:08","2018-03-15 01:36:08",3
109,"ミスのない丁寧な業務処理を行い、仕事のできばえは正確・確実であったか","2018-03-15 01:38:18","2018-03-15 01:38:18",2
110,"担当業務に必要な一定レベル以上の専門知識・技能及び関連知識を保有し活用しているか","2018-03-15 01:41:14","2018-03-15 01:41:14",2
111,"担当業務に必要な一定レベル以上の専門知識・技能及び関連知識を保有し活用しているか","2018-03-15 01:46:52","2018-03-15 01:46:52",3
112,"業務の改善を常に心がけ、合理化に積極的に努力したか","2018-03-15 01:59:13","2018-03-15 01:59:13",2
113,"迅速に業務処理を行い、一定の時間内で与えられた仕事をこなしたか","2018-03-15 02:04:23","2018-03-15 02:04:23",3
114,"迅速に業務処理を行い、一定の時間内で与えられた仕事をこなしたか","2018-03-15 02:07:47","2018-03-15 02:07:47",2
115,"常に原価意識を持って経費の削減に努力していたか","2018-03-15 02:12:38","2018-03-15 02:12:38",2
116,"業界情報や他社動向に関する情報の収集を行っている","2018-03-15 02:14:53","2018-03-15 02:14:53",2
117,"業界情報や他社動向に関する情報の収集を行っている","2018-03-15 02:20:39","2018-03-15 02:20:39",1
118,"業界情報や他社動向に関する情報の収集を行っている","2018-03-15 02:21:57","2018-03-15 02:21:57",3
119,"事務所や施設の整理・整頓を積極的に行い、設備維持に努めたか","2018-03-15 02:25:59","2018-03-15 02:25:59",1
120,"事務所や施設の整理・整頓を積極的に行い、設備維持に努めたか","2018-03-15 02:52:54","2018-03-15 02:52:54",2
121,"クレーム・トラブル発生の際、迅速かつ的確な対応ができるか","2018-03-15 02:58:13","2018-03-15 02:58:13",1
122,"クレーム・トラブル発生の際、迅速かつ的確な対応ができるか","2018-03-15 03:53:30","2018-03-15 03:53:30",2
123,"自己啓発に励み、自身のレベルアップに努めていたか","2018-03-15 03:57:17","2018-03-15 03:57:17",1
124,"自己啓発に励み、自身のレベルアップに努めていたか","2018-03-15 03:59:16","2018-03-15 03:59:16",2
125,"後輩に対する熱心な指導ができたか","2018-03-15 04:12:31","2018-03-15 04:12:31",2
126,"後輩に対する熱心な指導ができたか","2018-03-15 04:17:35","2018-03-15 04:17:35",1
127,"後輩に対する熱心な指導ができたか","2018-03-15 04:18:44","2018-03-15 04:18:44",3
128,"法令順守の意識を強く持ち、徹底したか","2018-03-15 04:20:32","2018-03-15 04:20:32",1
129,"法令順守の意識を強く持ち、徹底したか","2018-03-15 04:21:54","2018-03-15 04:21:54",2
130,"報告・連絡・相談を迅速、正確に行っていたか","2018-03-15 04:24:44","2018-03-15 04:24:44",2
131,"積極的に顧客を訪問し、円滑なコミュニケーションをとり、顧客応じたプレゼンテーションを行っていたか","2018-03-15 07:06:30","2018-03-15 07:06:30",3
132,"顧客訪問の頻度を高め、効果的なアプローチを行っていたか","2018-03-16 01:22:29","2018-03-16 01:22:29",3
133,"５Ｓ（整理・整頓・清掃・清潔・躾）に対して強い意識を持ち、実行し、周囲へも指導したか","2018-03-16 01:29:40","2018-03-16 01:29:40",1
134,"適切な品質管理を行っていたか","2018-03-16 01:31:33","2018-03-16 01:31:33",1
135,"適切な品質管理を行っていたか","2018-03-16 01:33:13","2018-03-16 01:33:13",2
136,"労働災害、災害、事故の発生予防に努め、職場の環境改善を行ったか","2018-03-16 01:34:49","2018-03-16 01:34:49",1
137,"経営理念を理解し、経営方針の実践を常に心がけ、目的・目標・方針を明確にし、方針実現に寄与したか","2018-03-16 01:41:02","2018-03-16 01:41:02",3
138,"自部署を統率し、指揮・管理を行ったか","2018-03-16 01:43:24","2018-03-16 01:43:24",2
139,"自部署を統率し、指揮・管理を行ったか
（設備マネジメントを含む）","2018-03-16 01:51:47","2018-03-16 01:51:47",2
140,"自部署を統率し、指揮・管理を行ったか","2018-03-16 01:43:24","2018-03-16 01:43:24",1
141,"担当業務に必要な一定レベル以上の専門知識・技能および関連知識を保有し、活用しているか","2018-03-16 02:07:02","2018-03-16 02:07:02",2
142,"担当業務に必要な一定レベル以上の専門知識・技能および関連知識を保有し、活用しているか","2018-03-16 02:07:02","2018-03-16 02:07:02",3
143,"新しい企画や、改善・向上につながる企画を自発的に立案し、積極的に推進したか","2018-03-16 02:12:03","2018-03-16 02:12:03",2
144,"新しい企画や、改善・向上につながる企画を自発的に立案し、積極的に推進したか","2018-03-16 02:12:03","2018-03-16 02:12:03",1
145,"業務の改善を常に心がけ、合理化に積極的に努力したか","2018-03-16 02:17:08","2018-03-16 02:17:08",2
146,"自部門ならびに部下の問題点に関して迅速かつ的確に解決策を見出し、問題解決の実施に努めたか","2018-03-16 02:21:20","2018-03-16 02:21:20",2
147,"自部門ならびに部下の問題点に関して迅速かつ的確に解決策を見出し、問題解決の実施に努めたか","2018-03-16 02:21:20","2018-03-16 02:21:20",1
148,"他部署との綿密な連携により、スムーズな業務運営が行えたか","2018-03-16 02:27:13","2018-03-16 02:27:13",1
149,"業界情報や他社動向に関する情報の収集を行っている","2018-03-16 02:29:02","2018-03-16 02:29:02",1
150,"業界情報や他社動向に関する情報の収集を行っている","2018-03-16 02:32:01","2018-03-16 02:32:01",2
151,"外部とのつきあいや交渉を、適切におこなったか","2018-03-16 02:35:03","2018-03-16 02:35:03",2
152,"外部とのつきあいや交渉を、適切におこなったか","2018-03-16 02:35:03","2018-03-16 02:35:03",1
153,"原価意識を指導し、適切なコスト管理を行ったか","2018-03-16 02:41:35","2018-03-16 02:41:35",2
154,"部下に対して適切な指導を行い、次期管理職の育成に努めたか","2018-03-16 02:43:05","2018-03-16 02:43:05",1
155,"部下に対して適切な指導を行い、次期管理職の育成に努めたか","2018-03-16 02:43:05","2018-03-16 02:43:05",2
156,"クレーム・トラブルを含め、社外の窓口責任者として、適切かつ迅速に対応していたか","2018-03-16 02:46:10","2018-03-16 02:46:10",2
157,"法令順守の意識を強く持ち、部下にも徹底したか","2018-03-16 02:47:31","2018-03-16 02:47:31",1
158,"報告・連絡・相談を迅速、正確に行っていたか","2018-03-16 02:49:10","2018-03-16 02:49:10",2
159,"顧客との信頼関係を深め、特約店シェアを高めるなど、顧客との関係発展や新たな展開など成果をあげたか","2018-03-16 02:51:13","2018-03-16 02:51:13",2
160,"５Ｓ（整理・整頓・清掃・清潔・躾）に対して強い意識を持ち、実践にうつしたか","2018-03-16 02:52:51","2018-03-16 02:52:51",1
161,"適切な品質管理を行っていたか","2018-03-16 02:54:48","2018-03-16 02:54:48",1
162,"経営理念を理解し、経営方針の実践を常に心がけ、目的・目標・方針を明確にし、方針実現に寄与したか","2018-03-16 02:56:42","2018-03-16 02:56:42",3
163,"自部門を統率し、指揮・管理を行ったか","2018-03-16 02:58:19","2018-03-16 02:58:19",2
164,"自部門の目標設定と進捗管理を行ったか","2018-03-16 02:59:31","2018-03-16 02:59:31",1
165,"自部門の目標設定と進捗管理を行ったか","2018-03-16 02:59:31","2018-03-16 02:59:31",2
166,"自部門を統率し、指揮・管理を行ったか
（設備マネジメントを含む）","2018-03-16 02:59:31","2018-03-16 02:59:31",2
167,"自部門の目標設定と進捗管理を行ったか","2018-03-16 04:08:50","2018-03-16 04:08:50",1
168,"自部門の目標設定と進捗管理を行ったか","2018-03-16 04:08:50","2018-03-16 04:08:50",2
169,"担当業務に必要な一定レベル以上の専門知識・技能および関連知識を保有し、活用しているか","2018-03-16 04:41:03","2018-03-16 04:41:03",2
170,"担当業務に必要な一定レベル以上の専門知識・技能および関連知識を保有し、活用しているか","2018-03-16 04:41:03","2018-03-16 04:41:03",3
171,"新しい企画や、改善・向上につながる企画を自発的に立案し、積極的に推進したか","2018-03-16 04:45:38","2018-03-16 04:45:38",2
172,"新しい企画や、改善・向上につながる企画を自発的に立案し、積極的に推進したか","2018-03-16 04:45:38","2018-03-16 04:45:38",3
173,"自部門ならびに部下の問題点に関して迅速かつ的確に解決策を見出し、問題解決の実施に努めたか","2018-03-16 04:58:06","2018-03-16 04:58:06",2
174,"自部門ならびに部下の問題点に関して迅速かつ的確に解決策を見出し、問題解決の実施に努めたか","2018-03-16 04:58:06","2018-03-16 04:58:06",1
175,"他部門との綿密な連携により、スムーズな業務運営が行えたか","2018-03-16 05:14:17","2018-03-16 05:14:17",2
176,"他部門との綿密な連携により、スムーズな業務運営が行えたか","2018-03-16 05:14:17","2018-03-16 05:14:17",1
177,"外部とのつきあいや交渉を、適切におこなったか","2018-03-16 05:29:45","2018-03-16 05:29:45",2
178,"原価意識を指導し、適切なコストマネジメント（企画・実行・改善）を実施していたか","2018-03-16 05:31:53","2018-03-16 05:31:53",2
179,"部下に対して適切な指導を行い、次期管理職の育成に努めたか","2018-03-16 05:33:53","2018-03-16 05:33:53",3
180,"クレーム・トラブル発生の際、迅速かつ的確な対応ができるか","2018-03-16 05:35:13","2018-03-16 05:35:13",1
181,"法令順守の意識を強く持ち、部下にも徹底したか","2018-03-16 05:36:58","2018-03-16 05:36:58",1
182,"報告・連絡・相談を迅速、正確に行っていたか","2018-03-16 05:38:06","2018-03-16 05:38:06",2
183,"顧客との信頼関係を深め、特約店シェアを高めるなど、顧客との関係発展や新たな展開など成果をあげたか","2018-03-16 05:40:21","2018-03-16 05:40:21",3
184,"適切な品質管理を行っていたか","2018-03-16 06:02:25","2018-03-16 06:02:25",2
186,"経営理念を理解し、経営方針の実践を常に心がけ、目的・目標・方針を明確にし、方針実現に寄与したか","2018-03-16 06:13:22","2018-03-16 06:13:22",3
187,"自部門を統率し、指揮・管理を行ったか","2018-03-16 06:14:39","2018-03-16 06:14:39",3
188,"自部門の目標設定と進捗管理を行ったか","2018-03-16 06:15:43","2018-03-16 06:15:43",2
189,"全社的課題の解決策を提案し、自ら実行したか","2018-03-16 06:16:47","2018-03-16 06:16:47",3
190,"全社的な視点で方針・戦略を立案し、社長に提案したか","2018-03-16 06:17:49","2018-03-16 06:17:49",3
191,"外部とのつきあいや交渉を、適切におこなったか","2018-03-16 06:18:50","2018-03-16 06:18:50",3
192,"部下に対して適切な指導を行い、次期管理職の育成に努めたか","2018-03-16 06:20:17","2018-03-16 06:20:17",3
193,"部下の出退勤管理、人事管理、行動管理を適切に行い、指導したか","2018-03-16 06:22:18","2018-03-16 06:22:18",2
194,"法令順守の意識を強く持ち、部下にも徹底したか","2018-03-16 06:23:12","2018-03-16 06:23:12",1
195,"報告・連絡・相談を迅速、正確に行っていたか","2018-03-16 06:24:08","2018-03-16 06:24:08",2
