id,"text",question_id,"created_at","updated_at",rate
20,"正確な処理を行い、他者のチェックも行っていた",4,"2018-02-02 07:35:30","2018-02-02 07:35:30",4
21,"パソコンスキルに問題があり、業務に支障をきたした",5,"2018-02-02 07:35:46","2018-02-02 07:35:46",0
22,"パソコンスキルは物足りず、周囲に手助けしてもらうこともあった",5,"2018-02-02 07:35:55","2018-02-02 07:35:55",1
23,"最低限のパソコンスキルは有しており、業務上大きな問題はなかった",5,"2018-02-02 07:36:06","2018-02-02 07:36:06",2
24,"基本的なパソコンスキルを有し、業務に十分活用していた",5,"2018-02-02 07:36:16","2018-02-02 07:36:16",3
25,"高いパソコンスキルを有し、効率的な仕事で周囲の役に立っていた",5,"2018-02-02 07:36:25","2018-02-02 07:36:25",4
26,"自社のサービスや商品に対して勉強が足りなかった",6,"2018-02-02 07:36:42","2018-02-02 07:36:42",0
27,"自社のサービスや商品を勉強していたが、理解は十分ではなかった",6,"2018-02-02 07:36:52","2018-02-02 07:36:52",1
28,"自社のサービスや商品に対する理解度は普通で、大きな問題はなかった",6,"2018-02-02 07:37:06","2018-02-02 07:37:06",2
29,"自社のサービスや商品に対してよく勉強しており、理解していた",6,"2018-02-02 07:37:15","2018-02-02 07:37:15",3
30,"自社のサービスや商品に対する理解度が高く、業務遂行に役立っていた",6,"2018-02-02 07:37:23","2018-02-02 07:37:23",4
31,"顧客との関係維持に対する意識が低く、問題があった",7,"2018-02-02 07:37:49","2018-02-02 07:37:49",0
32,"顧客との関係維持に対して意識はしていたが、物足りなかった",7,"2018-02-02 07:38:05","2018-02-02 07:38:05",1
35,"顧客との関係維持は普通であった",7,"2018-02-02 07:49:10","2018-02-02 07:49:10",2
36,"顧客維持に対する意識が高く、良い関係を保っていた",7,"2018-02-02 07:49:22","2018-02-02 07:49:22",3
37,"顧客意地に対する意識が高く、顧客との関係性が強まった",7,"2018-02-02 07:49:33","2018-02-02 07:49:33",4
38,"決められた時間内でこなせないことが多かった",8,"2018-02-02 07:49:44","2018-02-02 07:49:44",0
39,"決められた時間内でこなそうとしていたが、遅れることがあった",8,"2018-02-02 07:50:00","2018-02-02 07:50:00",1
40,"決められた時間内でこなしており、遅れることはなかった",8,"2018-02-02 07:50:10","2018-02-02 07:50:10",2
41,"決められた時間より迅速にこなしており、遅れることはなかった",8,"2018-02-02 07:50:23","2018-02-02 07:50:23",3
42,"決められた時間より迅速に余裕を持ってこなし、他の手伝いもできた",8,"2018-02-02 07:50:38","2018-02-02 07:50:38",4
43,"意識が希薄で、乱雑な状態であった",9,"2018-02-02 07:51:47","2018-02-02 07:51:47",0
44,"整理・整頓・美化を心がけていたが、不十分だった",9,"2018-02-02 07:52:10","2018-02-02 07:52:10",1
45,"整理・整頓・美化の意識を持ち、問題なく実行していた",9,"2018-02-02 07:52:22","2018-02-02 07:52:22",2
46,"美化意識が強く、会社全体の整理整頓に貢献した",9,"2018-02-02 07:52:37","2018-02-02 07:52:37",3
47,"美化の意識が強く、周囲にも働きかけ、他の模範となった",9,"2018-02-02 07:52:51","2018-02-02 07:52:51",4
48,"ほとんど独力では処理ができなかった",10,"2018-02-02 07:53:04","2018-02-02 07:53:04",0
49,"一応処理にあたるが、遅れたり、不適切なことが多かった",10,"2018-02-02 07:53:14","2018-02-02 07:53:14",1
50,"自分で対処できることの判断ができ、ほぼ問題は発生しなかった",10,"2018-02-02 07:53:23","2018-02-02 07:53:23",2
51,"内容を理解し、的確に処理し、報告も遅れず行った",10,"2018-02-02 07:53:32","2018-02-02 07:53:32",3
52,"内容を理解し、常に迅速かつ的確な処理を行い、報告も十分であった",10,"2018-02-02 07:53:41","2018-02-02 07:53:41",4
53,"自分には関係ないという姿勢で意欲が低く、消極的であった",11,"2018-02-02 07:53:54","2018-02-02 07:53:54",0
54,"意欲や意識が物足りず、積極的な行動には結びつかなかった",11,"2018-02-02 07:54:18","2018-02-02 07:54:18",1
55,"意欲や意識レベルは普通であり、積極性が見られる場面もあった",11,"2018-02-02 07:54:38","2018-02-02 07:54:38",2
56,"何事に対しても自らの問題として捉え、積極的に行動していた",11,"2018-02-02 07:54:48","2018-02-02 07:54:48",3
57,"高い意識で積極的に行動し、周囲に良い影響を与えていた",11,"2018-02-02 07:54:58","2018-02-02 07:54:58",4
58,"チームワークやコミュニケーションに対する意識が希薄であった",12,"2018-02-02 07:55:08","2018-02-02 07:55:08",0
59,"チームワークやコミュニケーションを意識していたが、物足りないレベルであった",12,"2018-02-02 07:55:21","2018-02-02 07:55:21",1
60,"チームワークやコミュニケーションは標準的であった",12,"2018-02-02 07:55:33","2018-02-02 07:55:33",2
61,"チームワークを重視した行動をとり、コミュニケーションも十分であった",12,"2018-02-02 07:55:44","2018-02-02 07:55:44",3
62,"チームワーク・コミュニケーションは模範的であった",12,"2018-02-02 07:55:55","2018-02-02 07:55:55",4
63,"ルールを破り、悪影響を与えた",13,"2018-02-02 07:56:04","2018-02-02 07:56:04",0
64,"時にはルーズなこともあり、周囲に迷惑をかけることもあった",13,"2018-02-02 07:56:21","2018-02-02 07:56:21",1
65,"決められたルールは、ほぼ守っていた",13,"2018-02-02 07:56:31","2018-02-02 07:56:31",2
66,"ルール違反は一度もなかった",13,"2018-02-02 07:56:40","2018-02-02 07:56:40",3
67,"ルールは完璧に守り、他の職員へも良い影響を与えた",13,"2018-02-02 07:56:50","2018-02-02 07:56:50",4
68,"意識が希薄で、指導されていた",14,"2018-02-02 07:57:02","2018-02-02 07:57:02",0
69,"意識はあったが不十分であり、徹底も弱かった",14,"2018-02-02 07:57:11","2018-02-02 07:57:11",1
70,"意識面に問題はなく、普通には実践していた",14,"2018-02-02 07:57:21","2018-02-02 07:57:21",2
71,"徹底して遵守していた",14,"2018-02-02 07:57:31","2018-02-02 07:57:31",3
72,"他の模範となるレベルで、周囲へも徹底し、部署全体の意識を高めた",14,"2018-02-02 07:57:39","2018-02-02 07:57:39",4
73,"報告・連絡・相談を行わず、支障をきたした",15,"2018-02-02 07:58:08","2018-02-02 07:58:08",0
74,"報告・連絡・相談が不十分であった",15,"2018-02-02 07:58:17","2018-02-02 07:58:17",1
75,"報告・連絡・相談は問題なく行っていた",15,"2018-02-02 07:58:25","2018-02-02 07:58:25",2
76,"報告・連絡・相談に抜け・もれはなく、安心できた",15,"2018-02-02 07:58:34","2018-02-02 07:58:34",3
77,"報告・連絡・相談を率先して行い、周囲の手本となった",15,"2018-02-02 07:58:44","2018-02-02 07:58:44",4
498,"乱れが見られ、問題があった",73,"2018-03-06 07:09:08","2018-03-06 07:09:08",0
499,"清潔感への配慮が欠けており、挨拶も積極的ではなかった",73,"2018-03-06 07:09:08","2018-03-06 07:09:08",1
500,"挨拶、身だしなみ、言葉遣いについては問題なく標準的であった",73,"2018-03-06 07:09:08","2018-03-06 07:09:08",2
501,"基本マナーへの意識が高く、積極的な挨拶で職場を明るくした",73,"2018-03-06 07:09:08","2018-03-06 07:09:08",3
502,"基本マナーについては模範的であり、周囲へも注意を行っていた",73,"2018-03-06 07:09:08","2018-03-06 07:09:08",4
553,"理念・方針を理解していなかった",81,"2018-03-07 08:00:45","2018-03-07 08:00:45",0
554,"理念・方針を最低限は理解していたが、行動が伴わなかった",81,"2018-03-07 08:00:45","2018-03-07 08:00:45",1
555,"理念・方針への理解は普通で、理念に則った行動を心がけていた",81,"2018-03-07 08:00:45","2018-03-07 08:00:45",2
556,"理念・方針をよく理解し、理念・方針に則った行動をとっていた",81,"2018-03-07 08:00:45","2018-03-07 08:00:45",3
557,"理念・方針を深く理解し、自身の行動のみならず、他者へもよい影響を与えた",81,"2018-03-07 08:00:45","2018-03-07 08:00:45",4
558,"意識が希薄で、周囲から注意を受けていた",82,"2018-03-07 08:26:05","2018-03-07 08:26:05",0
559,"意識はしていたが、物足りなかった",82,"2018-03-07 08:26:05","2018-03-07 08:26:05",1
560,"５Ｓの必要性に対する理解度は普通程度であった",82,"2018-03-07 08:26:05","2018-03-07 08:26:05",2
561,"５Ｓに対して強い意識を持ち、実行を心がけていた",82,"2018-03-07 08:26:05","2018-03-07 08:26:05",3
562,"５Ｓに対して強い意識を持ち実行し、周囲にも良い影響を与えていた",82,"2018-03-07 08:26:05","2018-03-07 08:26:05",4
563,"意識が希薄で、周囲から注意を受けていた",83,"2018-03-07 08:32:44","2018-03-07 08:32:44",0
564,"意識はしていたが、物足りなかった",83,"2018-03-07 08:32:44","2018-03-07 08:32:44",1
565,"５Ｓの必要性に対する理解度は普通程度であった",83,"2018-03-07 08:32:44","2018-03-07 08:32:44",2
566,"５Ｓに対して強い意識を持ち、実行を心がけていた",83,"2018-03-07 08:32:44","2018-03-07 08:32:44",3
567,"５Ｓに対して強い意識を持ち実行し、周囲にも良い影響を与えていた",83,"2018-03-07 08:32:44","2018-03-07 08:32:44",4
568,"安全管理の意識が希薄で、周囲から指導を受けていた",84,"2018-03-07 14:26:20","2018-03-07 14:26:20",0
569,"安全管理に対して意識はしていたが、物足りなかった",84,"2018-03-07 14:26:20","2018-03-07 14:26:20",1
570,"安全管理に対する意識は普通であった",84,"2018-03-07 14:26:20","2018-03-07 14:26:20",2
571,"安全管理に対する意識が高かった",84,"2018-03-07 14:26:20","2018-03-07 14:26:20",3
572,"安全管理に対する意識が高く、他の模範となるレベルであった",84,"2018-03-07 14:26:20","2018-03-07 14:26:20",4
573,"ミスが多く、顧客や周囲に迷惑をかけた",85,"2018-03-07 14:28:57","2018-03-07 14:28:57",0
574,"努力はしているがミスがしばしばあった",85,"2018-03-07 14:28:57","2018-03-07 14:28:57",1
575,"問題ない正確さで処理できていた",85,"2018-03-07 14:28:57","2018-03-07 14:28:57",2
576,"常に正確に処理できていた",85,"2018-03-07 14:28:57","2018-03-07 14:28:57",3
577,"正確な処理を行い、他者のチェックも行っていた",85,"2018-03-07 14:28:57","2018-03-07 14:28:57",4
578,"かなり不足しているばかりでなく、意欲も見られなかった",86,"2018-03-07 14:31:45","2018-03-07 14:31:45",0
579,"最低限の知識・技能は持っているが、日常業務にやや不足していた",86,"2018-03-07 14:31:45","2018-03-07 14:31:45",1
580,"必要な知識・技能はほぼマスターしており、業務には支障はなかった",86,"2018-03-07 14:31:45","2018-03-07 14:31:45",2
581,"必要な知識・技能はかなり持っており、日常業務にも十分活用されていた",86,"2018-03-07 14:31:45","2018-03-07 14:31:45",3
582,"現在の業務に必要な知識・技能ばかりでなく、更に研究し、活用していた",86,"2018-03-07 14:31:45","2018-03-07 14:31:45",4
583,"ミスが多く、顧客や周囲に迷惑をかけた",87,"2018-03-07 14:34:00","2018-03-07 14:34:00",0
584,"努力はしているがミスがしばしばあった",87,"2018-03-07 14:34:00","2018-03-07 14:34:00",1
585,"問題ない正確さで処理できていた",87,"2018-03-07 14:34:00","2018-03-07 14:34:00",2
586,"常に正確に処理できていた",87,"2018-03-07 14:34:00","2018-03-07 14:34:00",3
587,"正確な処理を行い、他者のチェックも行っていた",87,"2018-03-07 14:34:00","2018-03-07 14:34:00",4
588,"言われた業務をするだけで、合理化の意識が全くなかった",88,"2018-03-07 14:36:52","2018-03-07 14:36:52",0
589,"意識はあるが、実際の行動には至らなかった",88,"2018-03-07 14:36:52","2018-03-07 14:36:52",1
590,"できるだけ無駄をなくし合理化を図ろうと努めていた",88,"2018-03-07 14:36:52","2018-03-07 14:36:52",2
591,"常に意識を持ち、積極的に改善を図り、それなりの成果も出ていた",88,"2018-03-07 14:36:52","2018-03-07 14:36:52",3
592,"常に意識を持ち、他の人に向けても積極的に働きかけ、成果をあげていた",88,"2018-03-07 14:36:52","2018-03-07 14:36:52",4
593,"決められた時間内でこなせないことが多かった",89,"2018-03-07 14:39:22","2018-03-07 14:39:22",0
594,"決められた時間内でこなそうとしていたが、遅れることがあった",89,"2018-03-07 14:39:22","2018-03-07 14:39:22",1
595,"決められた時間内でこなしており、遅れることはなかった",89,"2018-03-07 14:39:22","2018-03-07 14:39:22",2
596,"決められた時間より迅速にこなしており、遅れることはなかった",89,"2018-03-07 14:39:22","2018-03-07 14:39:22",3
597,"決められた時間より迅速に余裕を持ってこなし、他の手伝いもできた",89,"2018-03-07 14:39:22","2018-03-07 14:39:22",4
603,"決められた時間内でこなせないことが多かった",91,"2018-03-12 03:02:03","2018-03-12 03:02:03",0
604,"意識はあるが、実際の行動には至らなかった",91,"2018-03-12 03:02:03","2018-03-12 03:02:03",1
605,"できるだけ無駄をなくし合理化を図ろうと努めていた",91,"2018-03-12 03:02:03","2018-03-12 03:02:03",2
606,"決められた時間より迅速にこなしており、遅れることはなかった",91,"2018-03-12 03:02:03","2018-03-12 03:02:03",3
607,"決められた時間より迅速に余裕を持ってこなし、他の手伝いもできた",91,"2018-03-12 03:02:03","2018-03-12 03:02:03",4
608,"意識が希薄で、乱雑な状態であった",92,"2018-03-12 04:39:09","2018-03-12 04:39:09",0
609,"整理・整頓・美化を心がけていたが、不十分だった",92,"2018-03-12 04:39:09","2018-03-12 04:39:09",1
610,"整理・整頓・美化の意識を持ち、問題なく実行していた",92,"2018-03-12 04:39:09","2018-03-12 04:39:09",2
611,"美化意識が強く、会社全体の整理整頓に貢献した",92,"2018-03-12 04:39:09","2018-03-12 04:39:09",3
612,"美化の意識が強く、周囲にも働きかけ、他の模範となった",92,"2018-03-12 04:39:09","2018-03-12 04:39:09",4
613,"意識が希薄で、乱雑な状態であった",93,"2018-03-12 04:41:05","2018-03-12 04:41:05",0
614,"整理・整頓・美化を心がけていたが、不十分だった",93,"2018-03-12 04:41:05","2018-03-12 04:41:05",1
615,"整理・整頓・美化の意識を持ち、問題なく実行していた",93,"2018-03-12 04:41:05","2018-03-12 04:41:05",2
616,"美化意識が強く、会社全体の整理整頓に貢献した",93,"2018-03-12 04:41:05","2018-03-12 04:41:05",3
617,"美化の意識が強く、周囲にも働きかけ、他の模範となった",93,"2018-03-12 04:41:05","2018-03-12 04:41:05",4
618,"ほとんど独力では処理ができなかった",94,"2018-03-12 04:46:42","2018-03-12 04:46:42",0
619,"一応処理にあたるが、遅れたり、不適切なことが多かった",94,"2018-03-12 04:46:42","2018-03-12 04:46:42",1
620,"自分で対処できることの判断ができ、ほぼ問題は発生しなかった",94,"2018-03-12 04:46:42","2018-03-12 04:46:42",2
621,"内容を理解し、的確に処理し、報告も遅れず行った",94,"2018-03-12 04:46:42","2018-03-12 04:46:42",3
622,"内容を理解し、常に迅速かつ的確な処理を行い、報告も十分であった",94,"2018-03-12 04:46:42","2018-03-12 04:46:42",4
623,"自己の知識や技能を高める意思が希薄で、実践は伴わなかった",95,"2018-03-12 04:50:58","2018-03-12 04:50:58",0
624,"自己の知識や技能を高めようとはしていたが、実践は物足りなかった",95,"2018-03-12 04:50:58","2018-03-12 04:50:58",1
625,"自己の知識や技能を高める意思は普通程度にあり、部分的に実践していた",95,"2018-03-12 04:50:58","2018-03-12 04:50:58",2
626,"自己の知識や技能を高める意思が強く、実践の努力もしていた",95,"2018-03-12 04:50:58","2018-03-12 04:50:58",3
627,"自己の知識や技能を高める意思が強く、日々実践に移しており、成長が感じられた",95,"2018-03-12 04:50:58","2018-03-12 04:50:58",4
628,"自己の知識や技能を高める意思が希薄で、実践は伴わなかった",96,"2018-03-12 04:52:45","2018-03-12 04:52:45",0
629,"自己の知識や技能を高めようとはしていたが、実践は物足りなかった",96,"2018-03-12 04:52:45","2018-03-12 04:52:45",1
630,"自己の知識や技能を高める意思は普通程度にあり、部分的に実践していた",96,"2018-03-12 04:52:45","2018-03-12 04:52:45",2
631,"自己の知識や技能を高める意思が強く、実践の努力もしていた",96,"2018-03-12 04:52:45","2018-03-12 04:52:45",3
632,"自己の知識や技能を高める意思が強く、日々実践に移しており、成長が感じられた",96,"2018-03-12 04:52:45","2018-03-12 04:52:45",4
633,"ほとんど指導していなかった",97,"2018-03-12 04:57:18","2018-03-12 04:57:18",0
634,"一応の指導はしているが、やや物足りなかった",97,"2018-03-12 04:57:18","2018-03-12 04:57:18",1
635,"自ら指導し、問題はなかった",97,"2018-03-12 04:57:18","2018-03-12 04:57:18",2
636,"積極的に指導していた",97,"2018-03-12 04:57:18","2018-03-12 04:57:18",3
637,"指導により、明らかに後輩の成長に貢献した",97,"2018-03-12 04:57:18","2018-03-12 04:57:18",4
638,"守秘義務に対する意識が希薄で、問題があった",98,"2018-03-12 05:00:33","2018-03-12 05:00:33",0
639,"守秘義務に対する意識はあったが、一部問題も見られた",98,"2018-03-12 05:00:33","2018-03-12 05:00:33",1
640,"守秘義務については、ほぼ問題がなかった",98,"2018-03-12 05:00:33","2018-03-12 05:00:33",2
641,"守秘義務に対する意識が強く、徹底していた",98,"2018-03-12 05:00:33","2018-03-12 05:00:33",3
642,"守秘義務を徹底し、他の職員にも注意をしていた",98,"2018-03-12 05:00:33","2018-03-12 05:00:33",4
643,"守秘義務に対する意識が希薄で、問題があった",99,"2018-03-12 05:02:47","2018-03-12 05:02:47",0
644,"守秘義務に対する意識はあったが、一部問題も見られた",99,"2018-03-12 05:02:47","2018-03-12 05:02:47",1
645,"守秘義務については、ほぼ問題がなかった",99,"2018-03-12 05:02:47","2018-03-12 05:02:47",2
646,"守秘義務に対する意識が強く、徹底していた",99,"2018-03-12 05:02:47","2018-03-12 05:02:47",3
647,"守秘義務を徹底し、他の職員にも注意をしていた",99,"2018-03-12 05:02:47","2018-03-12 05:02:47",4
648,"意識が希薄で、指導されていた",100,"2018-03-12 05:13:14","2018-03-12 05:13:14",0
649,"意識はあったが不十分であり、徹底も弱かった",100,"2018-03-12 05:13:14","2018-03-12 05:13:14",1
650,"意識面に問題はなく、普通には実践していた",100,"2018-03-12 05:13:14","2018-03-12 05:13:14",2
651,"徹底して遵守していた",100,"2018-03-12 05:13:14","2018-03-12 05:13:14",3
652,"他の模範となるレベルで、周囲へも徹底し、部署全体の意識を高めた",100,"2018-03-12 05:13:14","2018-03-12 05:13:14",4
653,"チームワークやコミュニケーションに対する意識が希薄であった",101,"2018-03-12 05:31:20","2018-03-12 05:31:20",0
654,"チームワークやコミュニケーションを意識していたが、物足りないレベルであった",101,"2018-03-12 05:31:20","2018-03-12 05:31:20",1
655,"チームワークやコミュニケーションは標準的であった",101,"2018-03-12 05:31:20","2018-03-12 05:31:20",2
656,"チームワークを重視した行動をとり、コミュニケーションも十分であった",101,"2018-03-12 05:31:20","2018-03-12 05:31:20",3
657,"チームワーク・コミュニケーションは模範的であった",101,"2018-03-12 05:31:20","2018-03-12 05:31:20",4
658,"チームワークやコミュニケーションに対する意識が希薄であった",102,"2018-03-12 05:33:35","2018-03-12 05:33:35",0
659,"チームワークやコミュニケーションを意識していたが、物足りないレベルであった",102,"2018-03-12 05:33:35","2018-03-12 05:33:35",1
660,"チームワークやコミュニケーションは標準的であった",102,"2018-03-12 05:33:35","2018-03-12 05:33:35",2
661,"チームワークを重視した行動をとり、コミュニケーションも十分であった",102,"2018-03-12 05:33:35","2018-03-12 05:33:35",3
662,"チームワーク・コミュニケーションは模範的であった",102,"2018-03-12 05:33:35","2018-03-12 05:33:35",4
663,"報告・連絡・相談を行わず、支障をきたした",103,"2018-03-12 05:36:49","2018-03-12 05:36:49",0
664,"報告・連絡・相談が不十分であった",103,"2018-03-12 05:36:49","2018-03-12 05:36:49",1
665,"報告・連絡・相談は問題なく行っていた",103,"2018-03-12 05:36:49","2018-03-12 05:36:49",2
666,"報告・連絡・相談に抜け・もれはなく、安心できた",103,"2018-03-12 05:36:49","2018-03-12 05:36:49",3
667,"報告・連絡・相談を率先して行い、周囲の手本となった",103,"2018-03-12 05:36:49","2018-03-12 05:36:49",4
668,"意識が希薄で、実践が伴わず、周囲から注意を受けていた",104,"2018-03-12 05:39:44","2018-03-12 05:39:44",0
669,"意識はしていたが、実践面では物足りなかった",104,"2018-03-12 05:39:44","2018-03-12 05:39:44",1
670,"意識面に大きな問題はなく、普通には実践していた",104,"2018-03-12 05:39:44","2018-03-12 05:39:44",2
671,"強い意識を持ち、実践していた",104,"2018-03-12 05:39:44","2018-03-12 05:39:44",3
672,"強い意識を持ち実践し、周囲にも良い影響を与えていた",104,"2018-03-12 05:39:44","2018-03-12 05:39:44",4
673,"意識が希薄で、実践が伴わず、周囲から注意を受けていた",105,"2018-03-12 05:41:40","2018-03-12 05:41:40",0
674,"意識はしていたが、実践面では物足りなかった",105,"2018-03-12 05:41:40","2018-03-12 05:41:40",1
675,"意識面に大きな問題はなく、普通には実践していた",105,"2018-03-12 05:41:40","2018-03-12 05:41:40",2
676,"強い意識を持ち、実践していた",105,"2018-03-12 05:41:40","2018-03-12 05:41:40",3
677,"強い意識を持ち実践し、周囲にも良い影響を与えていた",105,"2018-03-12 05:41:40","2018-03-12 05:41:40",4
678,"安全管理の意識が希薄で、周囲から指導を受けていた",106,"2018-03-12 05:45:08","2018-03-12 05:45:08",0
679,"安全管理に対して意識はしていたが、物足りなかった",106,"2018-03-12 05:45:08","2018-03-12 05:45:08",1
680,"安全管理に対する意識は普通であった",106,"2018-03-12 05:45:08","2018-03-12 05:45:08",2
681,"安全管理に対する意識が高かった",106,"2018-03-12 05:45:08","2018-03-12 05:45:08",3
682,"安全管理に対する意識が高く、他の模範となるレベルであった",106,"2018-03-12 05:45:08","2018-03-12 05:45:08",4
683,"理念・方針への理解が不足していた",107,"2018-03-15 01:29:48","2018-03-15 01:29:48",0
684,"理念・方針は理解していたが、行動が伴わなかった",107,"2018-03-15 01:29:48","2018-03-15 01:29:48",1
685,"理念・方針への理解・実行は普通であり、周囲へ働きかけることもあった",107,"2018-03-15 01:29:48","2018-03-15 01:29:48",2
686,"理念・方針をよく理解し、行動も模範的で、常に周囲へも働きかけていた",107,"2018-03-15 01:29:48","2018-03-15 01:29:48",3
687,"理念・方針への理解・行動は模範的で、周囲へも徹底し、良い影響を与えていた",107,"2018-03-15 01:29:48","2018-03-15 01:29:48",4
688,"ミスが多く、顧客や周囲に迷惑をかけた",108,"2018-03-15 01:36:08","2018-03-15 01:36:08",0
689,"努力はしているがミスがしばしばあった",108,"2018-03-15 01:36:08","2018-03-15 01:36:08",1
690,"問題ない正確さで処理できていた",108,"2018-03-15 01:36:08","2018-03-15 01:36:08",2
691,"常に正確に処理できていた",108,"2018-03-15 01:36:08","2018-03-15 01:36:08",3
692,"正確な処理を行い、他者のチェックも行っていた",108,"2018-03-15 01:36:08","2018-03-15 01:36:08",4
693,"ミスが多く、顧客や周囲に迷惑をかけた",109,"2018-03-15 01:38:18","2018-03-15 01:38:18",0
694,"努力はしているがミスがしばしばあった",109,"2018-03-15 01:38:18","2018-03-15 01:38:18",1
695,"問題ない正確さで処理できていた",109,"2018-03-15 01:38:18","2018-03-15 01:38:18",2
696,"常に正確に処理できていた",109,"2018-03-15 01:38:18","2018-03-15 01:38:18",3
697,"正確な処理を行い、他者のチェックも行っていた",109,"2018-03-15 01:38:18","2018-03-15 01:38:18",4
698,"かなり不足しているばかりでなく、意欲も見られなかった",110,"2018-03-15 01:41:14","2018-03-15 01:41:14",0
699,"最低限の知識・技能は持っているが、日常業務にやや不足していた",110,"2018-03-15 01:41:14","2018-03-15 01:41:14",1
700,"必要な知識・技能はほぼマスターしており、業務には支障はなかった",110,"2018-03-15 01:41:14","2018-03-15 01:41:14",2
701,"必要な知識・技能はかなり持っており、日常業務にも十分活用されていた",110,"2018-03-15 01:41:14","2018-03-15 01:41:14",3
702,"現在の業務に必要な知識・技能ばかりでなく、更に研究し、活用していた",110,"2018-03-15 01:41:14","2018-03-15 01:41:14",4
703,"かなり不足しているばかりでなく、意欲も見られなかった",111,"2018-03-15 01:46:52","2018-03-15 01:46:52",0
704,"最低限の知識・技能は持っているが、日常業務にやや不足していた",111,"2018-03-15 01:46:52","2018-03-15 01:46:52",1
705,"必要な知識・技能はほぼマスターしており、業務には支障はなかった",111,"2018-03-15 01:46:52","2018-03-15 01:46:52",2
706,"必要な知識・技能はかなり持っており、日常業務にも十分活用されていた",111,"2018-03-15 01:46:52","2018-03-15 01:46:52",3
707,"現在の業務に必要な知識・技能ばかりでなく、更に研究し、活用していた",111,"2018-03-15 01:46:52","2018-03-15 01:46:52",4
708,"言われた業務をするだけで、合理化の意識が全くなかった",112,"2018-03-15 01:59:13","2018-03-15 01:59:13",0
709,"意識はあるが、実際の行動には至らなかった",112,"2018-03-15 01:59:13","2018-03-15 01:59:13",1
710,"できるだけ無駄をなくし合理化を図ろうと努めていた",112,"2018-03-15 01:59:13","2018-03-15 01:59:13",2
711,"常に意識を持ち、積極的に改善を図り、それなりの成果も出ていた",112,"2018-03-15 01:59:13","2018-03-15 01:59:13",3
712,"常に意識を持ち、他の人に向けても積極的に働きかけ、成果をあげていた",112,"2018-03-15 01:59:13","2018-03-15 01:59:13",4
713,"決められた時間内でこなせないことが多かった",113,"2018-03-15 02:04:23","2018-03-15 02:04:23",0
714,"決められた時間内でこなそうとしていたが、遅れることがあった",113,"2018-03-15 02:04:23","2018-03-15 02:04:23",1
715,"決められた時間内でこなしており、遅れることはなかった",113,"2018-03-15 02:04:23","2018-03-15 02:04:23",2
716,"決められた時間より迅速にこなしており、遅れることはなかった",113,"2018-03-15 02:04:23","2018-03-15 02:04:23",3
717,"決められた時間より迅速に余裕を持ってこなし、他の手伝いもできた",113,"2018-03-15 02:04:23","2018-03-15 02:04:23",4
718,"決められた時間内でこなせないことが多かった",114,"2018-03-15 02:07:47","2018-03-15 02:07:47",0
719,"決められた時間内でこなそうとしていたが、遅れることがあった",114,"2018-03-15 02:07:47","2018-03-15 02:07:47",1
720,"決められた時間内でこなしており、遅れることはなかった",114,"2018-03-15 02:07:47","2018-03-15 02:07:47",2
